縣市,行政區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,已完成投票所投票率(%),有效同意票數對投票權人數(%)
 臺南市,市東山區,"1,935","3,815","5,750",67,"5,817","17,960",32.39%,10.77%
 臺南市,市麻豆區,"4,191","12,224","16,415",170,"16,585","37,508",44.22%,11.17%
 臺南市,市下營區,"2,456","5,382","7,838",82,"7,920","20,418",38.79%,12.03%
 臺南市,市六甲區,"2,150","4,865","7,015",85,"7,100","18,759",37.85%,11.46%
 臺南市,市官田區,"2,148","5,478","7,626",101,"7,727","18,603",41.54%,11.55%
 臺南市,市大內區,940,"2,245","3,185",43,"3,228","8,312",38.84%,11.31%
 臺南市,市佳里區,"6,152","13,569","19,721",151,"19,872","49,901",39.82%,12.33%
 臺南市,市學甲區,"2,423","6,220","8,643",88,"8,731","22,220",39.29%,10.9%
 臺南市,市西港區,"2,152","5,932","8,084",93,"8,177","21,470",38.09%,10.02%
 臺南市,市七股區,"1,834","5,226","7,060",83,"7,143","19,595",36.45%,9.36%
 臺南市,市將軍區,"1,533","4,681","6,214",76,"6,290","17,313",36.33%,8.85%
 臺南市,市北門區,990,"2,039","3,029",37,"3,066","9,549",32.11%,10.37%
 臺南市,市新化區,"5,390","9,306","14,696",171,"14,867","37,315",39.84%,14.44%
 臺南市,市善化區,"5,553","11,138","16,691",163,"16,854","41,406",40.7%,13.41%
 臺南市,市新市區,"3,973","8,235","12,208",99,"12,307","31,369",39.23%,12.67%
 臺南市,市安定區,"3,166","7,489","10,655",115,"10,770","26,163",41.17%,12.1%
 臺南市,市山上區,810,"1,501","2,311",37,"2,348","6,378",36.81%,12.7%
 臺南市,市玉井區,"2,023","2,331","4,354",66,"4,420","12,025",36.76%,16.82%
 臺南市,市楠西區,"1,323","1,306","2,629",36,"2,665","8,230",32.38%,16.08%
 臺南市,市南化區,"1,047","1,253","2,300",23,"2,323","7,508",30.94%,13.95%
 臺南市,市左鎮區,529,971,"1,500",22,"1,522","4,192",36.31%,12.62%
 臺南市,市仁德區,"10,172","17,261","27,433",283,"27,716","65,371",42.4%,15.56%
 臺南市,市歸仁區,"7,724","16,093","23,817",214,"24,031","57,425",41.85%,13.45%
 臺南市,市關廟區,"3,841","8,378","12,219",133,"12,352","29,940",41.26%,12.83%
 臺南市,市龍崎區,491,813,"1,304",18,"1,322","3,545",37.29%,13.85%
 臺南市,市永康區,"30,950","47,957","78,907",650,"79,557","196,894",40.41%,15.72%
 臺南市,市東區,"29,795","38,062","67,857",518,"68,375","151,996",44.98%,19.6%
 臺南市,市南區,"16,752","30,694","47,446",386,"47,832","108,304",44.16%,15.47%
 臺南市,市北區,"19,691","28,373","48,064",383,"48,447","109,685",44.17%,17.95%
 臺南市,市安南區,"20,126","43,472","63,598",518,"64,116","163,001",39.33%,12.35%
 臺南市,市安平區,"9,143","13,880","23,023",152,"23,175","56,716",40.86%,16.12%
 臺南市,市中西區,"10,663","18,232","28,895",213,"29,108","64,466",45.15%,16.54%
 高雄市,市鹽埕區,"3,545","6,373","9,918",80,"9,998","20,951",47.72%,16.92%
 高雄市,市鼓山區,"21,900","28,817","50,717",336,"51,053","116,097",43.97%,18.86%
 高雄市,市左營區,"33,481","36,043","69,524",533,"70,057","164,087",42.7%,20.4%
 高雄市,市楠梓區,"27,025","37,554","64,579",461,"65,040","156,746",41.49%,17.24%
 高雄市,市三民區,"47,555","77,099","124,654",842,"125,496","285,944",43.89%,16.63%
 高雄市,市新興區,"8,229","11,872","20,101",130,"20,231","43,307",46.72%,19%
 高雄市,市前金區,"4,553","6,554","11,107",75,"11,182","23,787",47.01%,19.14%
 高雄市,市苓雅區,"27,019","37,787","64,806",464,"65,270","143,752",45.4%,18.8%
 高雄市,市前鎮區,"26,987","43,134","70,121",531,"70,652","159,582",44.27%,16.91%
 高雄市,市旗津區,"2,722","6,486","9,208",75,"9,283","24,346",38.13%,11.18%
 高雄市,市小港區,"19,155","33,727","52,882",390,"53,272","132,828",40.11%,14.42%
 高雄市,市鳳山區,"53,682","73,916","127,598",932,"128,530","302,069",42.55%,17.77%
 高雄市,市林園區,"7,153","15,803","22,956",257,"23,213","59,161",39.24%,12.09%
 高雄市,市大寮區,"14,197","24,908","39,105",381,"39,486","97,638",40.44%,14.54%
 高雄市,市大樹區,"4,901","10,063","14,964",146,"15,110","36,462",41.44%,13.44%
 高雄市,市大社區,"4,083","8,528","12,611",130,"12,741","30,109",42.32%,13.56%
 高雄市,市仁武區,"11,540","20,633","32,173",235,"32,408","78,723",41.17%,14.66%
 高雄市,市鳥松區,"6,839","11,154","17,993",122,"18,115","39,800",45.52%,17.18%
 高雄市,市岡山區,"14,532","20,049","34,581",303,"34,884","81,201",42.96%,17.9%
 高雄市,市橋頭區,"5,034","10,815","15,849",135,"15,984","34,350",46.53%,14.66%
 高雄市,市燕巢區,"3,598","6,735","10,333",117,"10,450","25,855",40.42%,13.92%
 高雄市,市田寮區,695,"1,620","2,315",42,"2,357","6,357",37.08%,10.93%
 高雄市,市阿蓮區,"2,933","6,434","9,367",92,"9,459","24,309",38.91%,12.07%
 高雄市,市路竹區,"6,232","10,888","17,120",180,"17,300","43,320",39.94%,14.39%
 高雄市,市湖內區,"3,315","6,706","10,021",86,"10,107","25,813",39.15%,12.84%
 高雄市,市茄萣區,"3,101","6,642","9,743",87,"9,830","26,119",37.64%,11.87%
 高雄市,市永安區,"1,637","2,962","4,599",37,"4,636","11,982",38.69%,13.66%
 高雄市,市彌陀區,"2,545","4,015","6,560",84,"6,644","16,271",40.83%,15.64%
 高雄市,市梓官區,"3,996","8,980","12,976",114,"13,090","30,908",42.35%,12.93%
 高雄市,市旗山區,"4,320","7,411","11,731",144,"11,875","31,152",38.12%,13.87%
 高雄市,市美濃區,"6,006","6,608","12,614",150,"12,764","34,303",37.21%,17.51%
 高雄市,市六龜區,"1,244","1,975","3,219",53,"3,272","10,933",29.93%,11.38%
 高雄市,市甲仙區,835,848,"1,683",27,"1,710","5,257",32.53%,15.88%
 高雄市,市杉林區,"1,280","1,762","3,042",48,"3,090","10,258",30.12%,12.48%
 高雄市,市內門區,"1,509","2,425","3,934",69,"4,003","12,595",31.78%,11.98%
 高雄市,市茂林區,379,124,503,10,513,"1,559",32.91%,24.31%
 高雄市,市桃源區,532,191,723,13,736,"3,415",21.55%,15.58%
 高雄市,市那瑪夏區,503,185,688,6,694,"2,427",28.59%,20.73%
 新竹縣,縣竹北市,"34,348","28,205","62,553",545,"63,098","150,431",41.94%,22.83%
 新竹縣,縣竹東鎮,"20,075","9,870","29,945",290,"30,235","80,187",37.71%,25.04%
 新竹縣,縣新埔鎮,"7,035","4,827","11,862",125,"11,987","29,144",41.13%,24.14%
 新竹縣,縣關西鎮,"5,792","3,430","9,222",139,"9,361","24,047",38.93%,24.09%
 新竹縣,縣湖口鄉,"15,290","8,216","23,506",235,"23,741","65,720",36.12%,23.27%
 新竹縣,縣新豐鄉,"10,205","6,675","16,880",182,"17,062","46,779",36.47%,21.82%
 新竹縣,縣芎林鄉,"4,649","2,447","7,096",74,"7,170","17,504",40.96%,26.56%
 新竹縣,縣橫山鄉,"2,987","1,325","4,312",74,"4,386","11,007",39.85%,27.14%
 新竹縣,縣北埔鄉,"1,979",960,"2,939",29,"2,968","7,870",37.71%,25.15%
 新竹縣,縣寶山鄉,"3,237","1,902","5,139",44,"5,183","13,015",39.82%,24.87%
 新竹縣,縣峨眉鄉,"1,241",705,"1,946",22,"1,968","4,838",40.68%,25.65%
 新竹縣,縣尖石鄉,"1,311",394,"1,705",24,"1,729","7,360",23.49%,17.81%
 新竹縣,縣五峰鄉,776,229,"1,005",14,"1,019","3,736",27.28%,20.77%
 苗栗縣,縣苗栗市,"20,436","9,082","29,518",267,"29,785","73,644",40.44%,27.75%
 苗栗縣,縣苑裡鎮,"5,868","7,778","13,646",120,"13,766","38,502",35.75%,15.24%
 苗栗縣,縣通霄鎮,"4,480","5,240","9,720",116,"9,836","28,819",34.13%,15.55%
 苗栗縣,縣竹南鎮,"14,510","11,832","26,342",242,"26,584","70,266",37.83%,20.65%
 苗栗縣,縣頭份市,"21,342","10,556","31,898",270,"32,168","85,736",37.52%,24.89%
 苗栗縣,縣後龍鎮,"5,349","4,841","10,190",120,"10,310","30,244",34.09%,17.69%
 苗栗縣,縣卓蘭鎮,"2,679","2,620","5,299",57,"5,356","14,189",37.75%,18.88%
 苗栗縣,縣大湖鄉,"2,799","1,309","4,108",52,"4,160","12,068",34.47%,23.19%
 苗栗縣,縣公館鄉,"7,051","3,552","10,603",121,"10,724","27,661",38.77%,25.49%
 苗栗縣,縣銅鑼鄉,"3,965","1,669","5,634",49,"5,683","14,892",38.16%,26.63%
 苗栗縣,縣南庄鄉,"2,076",774,"2,850",38,"2,888","8,353",34.57%,24.85%
 苗栗縣,縣頭屋鄉,"2,544","1,132","3,676",33,"3,709","9,023",41.11%,28.19%
 苗栗縣,縣三義鄉,"3,490","1,803","5,293",59,"5,352","13,373",40.02%,26.1%
 苗栗縣,縣西湖鄉,"1,513",594,"2,107",28,"2,135","6,133",34.81%,24.67%
 苗栗縣,縣造橋鄉,"2,518","1,392","3,910",34,"3,944","10,732",36.75%,23.46%
 苗栗縣,縣三灣鄉,"1,466",669,"2,135",30,"2,165","5,579",38.81%,26.28%
 苗栗縣,縣獅潭鄉,"1,026",388,"1,414",25,"1,439","3,782",38.05%,27.13%
 苗栗縣,縣泰安鄉,"1,250",265,"1,515",26,"1,541","4,995",30.85%,25.03%
 彰化縣,縣彰化市,"38,916","40,782","79,698",690,"80,388","189,909",42.33%,20.49%
 彰化縣,縣鹿港鎮,"11,089","14,841","25,930",278,"26,208","70,613",37.11%,15.7%
 彰化縣,縣和美鎮,"12,969","14,378","27,347",289,"27,636","75,185",36.76%,17.25%
 彰化縣,縣線西鄉,"2,631","2,213","4,844",51,"4,895","14,031",34.89%,18.75%
 彰化縣,縣伸港鄉,"5,042","5,220","10,262",93,"10,355","31,273",33.11%,16.12%
 彰化縣,縣福興鄉,"5,771","7,411","13,182",140,"13,322","39,495",33.73%,14.61%
 彰化縣,縣秀水鄉,"5,756","6,715","12,471",117,"12,588","32,451",38.79%,17.74%
 彰化縣,縣花壇鄉,"7,265","7,225","14,490",170,"14,660","38,651",37.93%,18.8%
 彰化縣,縣芬園鄉,"3,238","3,977","7,215",97,"7,312","20,114",36.35%,16.1%
 彰化縣,縣員林市,"19,710","20,426","40,136",395,"40,531","101,543",39.92%,19.41%
 彰化縣,縣溪湖鎮,"7,686","8,021","15,707",150,"15,857","44,726",35.45%,17.18%
 彰化縣,縣田中鎮,"6,197","6,726","12,923",145,"13,068","34,682",37.68%,17.87%
 彰化縣,縣大村鄉,"5,558","6,254","11,812",123,"11,935","33,111",36.05%,16.79%
 彰化縣,縣埔鹽鄉,"5,102","4,345","9,447",125,"9,572","27,733",34.51%,18.4%
 彰化縣,縣埔心鄉,"4,713","6,142","10,855",115,"10,970","29,651",37%,15.89%
 彰化縣,縣永靖鄉,"5,168","6,215","11,383",136,"11,519","30,808",37.39%,16.77%
 彰化縣,縣社頭鄉,"5,680","7,349","13,029",147,"13,176","35,988",36.61%,15.78%
 彰化縣,縣二水鄉,"2,302","2,738","5,040",69,"5,109","12,827",39.83%,17.95%
 彰化縣,縣北斗鎮,"4,695","5,336","10,031",91,"10,122","27,801",36.41%,16.89%
 彰化縣,縣二林鎮,"6,965","6,364","13,329",226,"13,555","42,339",32.02%,16.45%
 彰化縣,縣田尾鄉,"3,826","4,544","8,370",115,"8,485","22,884",37.08%,16.72%
 彰化縣,縣埤頭鄉,"3,840","4,551","8,391",128,"8,519","25,354",33.6%,15.15%
 彰化縣,縣芳苑鄉,"3,503","4,766","8,269",129,"8,398","28,593",29.37%,12.25%
 彰化縣,縣大城鄉,"2,076","1,736","3,812",75,"3,887","14,194",27.38%,14.63%
 彰化縣,縣竹塘鄉,"1,699","2,330","4,029",49,"4,078","12,543",32.51%,13.55%
 彰化縣,縣溪州鄉,"3,226","5,062","8,288",122,"8,410","25,072",33.54%,12.87%
 南投縣,縣南投市,"19,018","15,657","34,675",317,"34,992","83,549",41.88%,22.76%
 南投縣,縣埔里鎮,"13,621","11,013","24,634",281,"24,915","67,679",36.81%,20.13%
 南投縣,縣草屯鎮,"17,310","16,542","33,852",299,"34,151","83,201",41.05%,20.81%
 南投縣,縣竹山鎮,"8,039","8,447","16,486",203,"16,689","46,058",36.23%,17.45%
 南投縣,縣集集鎮,"1,782","1,606","3,388",50,"3,438","9,241",37.2%,19.28%
 南投縣,縣名間鄉,"5,282","6,953","12,235",173,"12,408","32,758",37.88%,16.12%
 南投縣,縣鹿谷鄉,"2,836","2,475","5,311",74,"5,385","15,417",34.93%,18.4%
 南投縣,縣中寮鄉,"2,069","2,202","4,271",67,"4,338","12,820",33.84%,16.14%
 南投縣,縣魚池鄉,"2,276","2,202","4,478",46,"4,524","13,636",33.18%,16.69%
 南投縣,縣國姓鄉,"2,792","2,188","4,980",86,"5,066","15,914",31.83%,17.54%
 南投縣,縣水里鄉,"2,739","2,340","5,079",49,"5,128","14,915",34.38%,18.36%
 南投縣,縣信義鄉,"2,150","1,142","3,292",49,"3,341","13,002",25.7%,16.54%
 南投縣,縣仁愛鄉,"2,557",598,"3,155",33,"3,188","12,497",25.51%,20.46%
 雲林縣,縣斗六市,"17,878","18,438","36,316",365,"36,681","90,244",40.65%,19.81%
 雲林縣,縣斗南鎮,"6,372","8,169","14,541",162,"14,703","37,622",39.08%,16.94%
 雲林縣,縣虎尾鎮,"10,119","11,232","21,351",192,"21,543","58,416",36.88%,17.32%
 雲林縣,縣西螺鎮,"4,746","8,885","13,631",149,"13,780","37,855",36.4%,12.54%
 雲林縣,縣土庫鎮,"3,265","4,959","8,224",97,"8,321","24,096",34.53%,13.55%
 雲林縣,縣北港鎮,"4,541","7,995","12,536",143,"12,679","33,096",38.31%,13.72%
 雲林縣,縣古坑鄉,"3,992","5,527","9,519",126,"9,645","27,042",35.67%,14.76%
 雲林縣,縣大埤鄉,"2,183","3,630","5,813",82,"5,895","16,313",36.14%,13.38%
 雲林縣,縣莿桐鄉,"3,336","5,949","9,285",116,"9,401","24,348",38.61%,13.7%
 雲林縣,縣林內鄉,"2,264","3,024","5,288",82,"5,370","15,106",35.55%,14.99%
 雲林縣,縣二崙鄉,"2,491","5,401","7,892",104,"7,996","22,786",35.09%,10.93%
 雲林縣,縣崙背鄉,"2,647","4,158","6,805",96,"6,901","20,647",33.42%,12.82%
 雲林縣,縣麥寮鄉,"4,700","5,090","9,790",131,"9,921","39,270",25.26%,11.97%
 雲林縣,縣東勢鄉,"1,748","2,263","4,011",56,"4,067","12,612",32.25%,13.86%
 雲林縣,縣褒忠鄉,"1,581","2,376","3,957",53,"4,010","10,933",36.68%,14.46%
 雲林縣,縣臺西鄉,"2,757","2,734","5,491",102,"5,593","20,367",27.46%,13.54%
 雲林縣,縣元長鄉,"2,437","4,257","6,694",85,"6,779","21,835",31.05%,11.16%
 雲林縣,縣四湖鄉,"2,278","3,194","5,472",78,"5,550","20,121",27.58%,11.32%
 雲林縣,縣口湖鄉,"2,236","5,179","7,415",138,"7,553","23,413",32.26%,9.55%
 雲林縣,縣水林鄉,"2,055","5,038","7,093",120,"7,213","21,442",33.64%,9.58%
 嘉義縣,縣太保市,"4,706","7,769","12,475",115,"12,590","32,207",39.09%,14.61%
 嘉義縣,縣朴子市,"4,941","8,531","13,472",155,"13,627","34,834",39.12%,14.18%
 嘉義縣,縣布袋鎮,"3,150","5,188","8,338",122,"8,460","23,144",36.55%,13.61%
 嘉義縣,縣大林鎮,"4,249","6,337","10,586",120,"10,706","26,546",40.33%,16.01%
 嘉義縣,縣民雄鄉,"9,243","14,811","24,054",250,"24,304","61,483",39.53%,15.03%
 嘉義縣,縣溪口鄉,"1,403","3,382","4,785",67,"4,852","12,575",38.58%,11.16%
 嘉義縣,縣新港鄉,"3,236","7,610","10,846",142,"10,988","27,120",40.52%,11.93%
 嘉義縣,縣六腳鄉,"2,227","5,135","7,362",97,"7,459","20,088",37.13%,11.09%
 嘉義縣,縣東石鄉,"2,626","4,615","7,241",127,"7,368","21,235",34.7%,12.37%
 嘉義縣,縣義竹鄉,"2,203","3,989","6,192",116,"6,308","15,973",39.49%,13.79%
 嘉義縣,縣鹿草鄉,"1,617","3,415","5,032",71,"5,103","13,469",37.89%,12.01%
 嘉義縣,縣水上鄉,"6,688","10,636","17,324",184,"17,508","43,700",40.06%,15.3%
 嘉義縣,縣中埔鄉,"5,297","8,675","13,972",159,"14,131","38,789",36.43%,13.66%
 嘉義縣,縣竹崎鄉,"4,128","6,716","10,844",129,"10,973","30,617",35.84%,13.48%
 嘉義縣,縣梅山鄉,"2,319","3,301","5,620",80,"5,700","16,554",34.43%,14.01%
 嘉義縣,縣番路鄉,"1,479","1,874","3,353",32,"3,385","9,931",34.09%,14.89%
 嘉義縣,縣大埔鄉,425,573,998,16,"1,014","4,008",25.3%,10.6%
 嘉義縣,縣阿里山鄉,968,478,"1,446",20,"1,466","4,621",31.72%,20.95%
 屏東縣,縣屏東市,"33,121","39,288","72,409",699,"73,108","167,496",43.65%,19.77%
 屏東縣,縣潮州鎮,"7,380","11,317","18,697",163,"18,860","46,629",40.45%,15.83%
 屏東縣,縣東港鎮,"4,962","10,354","15,316",135,"15,451","39,127",39.49%,12.68%
 屏東縣,縣恆春鎮,"3,396","3,993","7,389",90,"7,479","25,502",29.33%,13.32%
 屏東縣,縣萬丹鄉,"5,922","12,105","18,027",192,"18,219","43,230",42.14%,13.7%
 屏東縣,縣長治鄉,"4,220","6,740","10,960",101,"11,061","26,079",42.41%,16.18%
 屏東縣,縣麟洛鄉,"1,580","3,098","4,678",40,"4,718","9,689",48.69%,16.31%
 屏東縣,縣九如鄉,"2,281","5,963","8,244",90,"8,334","19,063",43.72%,11.97%
 屏東縣,縣里港鄉,"2,775","6,398","9,173",106,"9,279","21,985",42.21%,12.62%
 屏東縣,縣鹽埔鄉,"3,028","4,653","7,681",111,"7,792","21,921",35.55%,13.81%
 屏東縣,縣高樹鄉,"2,183","6,325","8,508",125,"8,633","21,162",40.79%,10.32%
 屏東縣,縣萬巒鄉,"2,174","5,032","7,206",86,"7,292","17,504",41.66%,12.42%
 屏東縣,縣內埔鄉,"6,796","12,312","19,108",194,"19,302","46,892",41.16%,14.49%
 屏東縣,縣竹田鄉,"2,276","4,454","6,730",69,"6,799","14,893",45.65%,15.28%
 屏東縣,縣新埤鄉,"1,300","2,067","3,367",54,"3,421","8,649",39.55%,15.03%
 屏東縣,縣枋寮鄉,"2,905","5,047","7,952",89,"8,041","20,786",38.68%,13.98%
 屏東縣,縣新園鄉,"3,219","8,397","11,616",150,"11,766","29,974",39.25%,10.74%
 屏東縣,縣崁頂鄉,"1,504","3,184","4,688",51,"4,739","11,939",39.69%,12.6%
 屏東縣,縣林邊鄉,"1,979","4,301","6,280",80,"6,360","15,160",41.95%,13.05%
 屏東縣,縣南州鄉,"1,287","2,596","3,883",39,"3,922","9,254",42.38%,13.91%
 屏東縣,縣佳冬鄉,"1,995","4,423","6,418",79,"6,497","16,509",39.35%,12.08%
 屏東縣,縣琉球鄉,"1,153",952,"2,105",19,"2,124","10,595",20.05%,10.88%
 屏東縣,縣車城鄉,949,"1,416","2,365",36,"2,401","7,290",32.94%,13.02%
 屏東縣,縣滿州鄉,838,"1,062","1,900",24,"1,924","6,686",28.78%,12.53%
 屏東縣,縣枋山鄉,540,"1,043","1,583",25,"1,608","4,637",34.68%,11.65%
 屏東縣,縣三地門鄉,"1,461",478,"1,939",34,"1,973","6,401",30.82%,22.82%
 屏東縣,縣霧臺鄉,652,271,923,13,936,"2,842",32.93%,22.94%
